m_mtrlalu;mtrakhir;blokno
109;118;F 03/010
840;870;F 03/011
204;219;F 03/012
1200;1218;F 03/014
2170;2183;F 03/017
936;949;F 03/018
456;515;F 03/019
3479;3480;F 05/002
795;811;F 05/003
418;418;F 05/005
627;627;F 05/006
253;269;F 05/007
67;67;F 05/008
1192;1192;F 05/015
214;232;F 05/016
1797;1850;B 01/003
85;123;B 01/007
31;31;B 01/009
418;418;B 01/030
1468;1485;B 01/036
32;32;B 01/037
2118;2143;B 01/038
2811;2811;B 01/039
784;809;B 02/002
54;54;B 02/005
113;113;B 02/008
108;124;B 02/009
1476;1508;B 02/014
928;961;B 02/015
2715;2715;B 02/019
3;3;B 02/020
1;1;B 02/021
4997;5116;A 01/001
8485;8650;A 01/015
5218;5691;A 01/044
9074;9213;A 02/002
9835;9879;A 03/011
2944;3065;A 04/007
7980;7983;A 04/009
4017;4086;A 05/011
3162;3256;B 01/035A
235;257;B 02/006
1195;1250;B 02/030
2574;2616;C 01/002
1095;1147;C 01/003A
770;802;C 01/003
1599;1604;C 01/006
742;761;C 01/007
2120;2155;C 01/008
1049;1094;C 01/009
417;429;C 01/014
325;339;C 01/016
474;500;C 02/010
1420;1455;C 02/012A
1198;1248;C 03/002
536;553;C 04/016
438;465;C 04/017
2595;2677;C 05/002
3291;3291;C 05/005
698;760;C 06/002
430;451;C 06/009
1079;1139;C 06/014
261;271;C 06/022
1039;1087;C 07/001
339;364;C 07/008
2420;2467;C 08/008
1403;1403;C 08/008B
932;981;D 01/003A
3850;3850;D 01/006
2059;2111;D 01/016
1301;1345;D 01/032
4881;5129;E 01/010
5950;6217;E 02/003
0;0;E 02/018
3572;3662;E 02/030
3174;3289;E 02/031
311;347;E 03/008
1393;1395;E 06/010
754;754;F 01/017
1546;1600;F 01/018
743;746;F 01/030
3446;3518;F 01/037
1422;1474;G 02/001
3937;4044;G 02/008
2406;2605;H 02/005
4342;4342;H 02/023
2127;2180;H 03/002
53;53;H 03/021
4425;4503;H 03/031
3365;3365;H 03/033
1441;1520;H 04/008
1374;1432;H 05/006
6209;6333;I 02/017
5422;5474;I 02/021A
595;684;I 03/003
1160;1319;I 04/005
5935;6158;I 04/019
6606;6753;I 04/027
927;972;J 01/016
513;513;J 01/017
853;975;J 01/019
910;990;J 02/011
532;558;J 03/005
12006;12055;J 03/007
1124;1168;J 03/010
2928;3042;J 03/011
2270;2317;K 01/018
452;453;K 02/014
975;1007;K 02/020
1451;1550;M 01/002
1680;1745;M 01/006
193;223;GA01/017
1072;1072;GA03/001
850;885;GA03/007
106518;116155;BP0N/001
2130;2311;MS /001
525;525;TC03/019A
1399;1399;TC04/017
132762;133271;CH /001
147132;147560;FC0H/001
296;296;HK /001
2352;15;HOLE/005
25;35;HOLE/015
52884;53104;PM0K/001
1827;1839;A /001
3910;3910;B /002
14;14;C /003
437;437;D /005
86;132;E /006
203;203;F /007
306;306;G /008
288;291;H /009
541;542;I /010
426;426;J /011
5309;5309;K /012
305;327;L /014
87;87;M /015
4069;4069;N /016
178;229;O /017
73;81;P /018
192;292;Q /019
897;897;R /020
2095;2095;S /021
998;998;T /022
1;1;U /023
92;92;V /024
2730;2730;W /025
16409;16520;Y /027
110;110;MG0S/001
27748;27947;MO /001
19756;19843;MS /001
219;219;A 01/015
118;145;A 01/016
549;549;A 01/017
407;423;A 01/018
144;159;A 01/019
231;245;A 01/020
1135;1159;A 01/021
1648;1671;A 01/042
707;748;A 01/044
262;262;A 01/046
0;0;A 01/047
465;485;A 01/048
139;139;A 01/050
989;1017;A 01/051
782;799;A 01/052
406;406;A 01/053
104;104;A 01/055
2051;2092;A 02/002
3415;3415;A 02/007
132;140;A 02/008
2796;2813;A 02/012
429;444;A 02/014
523;535;A 02/015
257;273;A 02/016
95;106;A 02/017
1002;1014;A 02/018
1684;1701;A 02/019
213;219;A 02/026
658;670;A 02/027
137;146;A 02/028
1245;1245;A 02/031
762;771;A 02/032
375;394;A 02/035
557;557;A 02/062
170;183;A 02/063
398;417;A 04/006
301;314;A 04/011
434;447;A 04/014
2754;2754;A 04/017
4070;4070;A 04/020
7985;8017;A 04/021
710;742;A 04/022
867;885;A 04/023
850;865;A 04/024
309;309;A 04/025
711;711;A 05/002
484;484;A 05/003
26;26;A 05/005
136;136;A 05/006
992;1012;A 05/007
1003;1003;A 05/008
15;15;A 05/009
